counter_name,timestamp,time_range,Max Active Threads,Max Active Threads_extra,Throughput,Throughput_extra,Average Duration,Average Duration_extra,Median Duration,Median Duration_extra,> 500 ms,> 500 ms_extra,> 1 second,> 1 second_extra,> 2 seconds,> 2 seconds_extra,> 3 seconds,> 3 seconds_extra,Standard Deviation,Standard Deviation_extra,Max Duration,Max Duration_extra,Min Duration,Min Duration_extra,Total Hits,Total Hits_extra,Total Completions,Total Completions_extra,(SQL)Avg. Duration,(SQL)Avg. Duration_extra,(SQL)Std. Dev,(SQL)Std. Dev_extra,(SQL)Max Duration,(SQL)Max Duration_extra,(SQL)Min Duration,(SQL)Min Duration_extra,Max Active Threads,Max Active Threads_extra,Max Throughput,Max Throughput_extra,Average Duration,Average Duration_extra,Standard Deviation,Standard Deviation_extra,Max Duration,Max Duration_extra,Min Duration,Min Duration_extra,(SQL)Avg. Duration,(SQL)Avg. Duration_extra,(SQL)Std. Dev,(SQL)Std. Dev_extra,(SQL)Max Duration,(SQL)Max Duration_extra,(SQL)Min Duration,(SQL)Min Duration_extra
WebRequest,2023-01-21 03:04:50.891,02:54:49:810 -> 03:04:49:813,6, (2023-01-21 03:02:55:594),86.80, per minute,187.00,,0.0,,5.07,%,2.53,%,0.92,%,0.81,%,2061.61,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 03:04:49:522),870,,868,,0.00,,0.00,,0,,0,,6, (2023-01-21 03:02:55:594),278.72, (2023-01-21 03:01:49 -> 2023-01-21 03:02:49),187.00,,2061.61,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 03:04:49:522),0.00,,0.00,,0,,0,
WebRequest,2023-01-21 03:14:50.893,03:04:49:813 -> 03:14:49:813,6, (2023-01-21 03:14:14:625),194.00, per minute,87.00,,0.0,,1.91,%,0.72,%,0.05,%,0.00,%,1155.08,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 03:14:48:718),1938,,1940,,9.00,,88.21,,2230, (2023-01-21 03:01:31:454),0, (2023-01-21 03:04:49:812),6, (2023-01-21 03:14:14:625),321.00, (2023-01-21 03:07:49 -> 2023-01-21 03:08:49),87.00,,1155.08,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 03:14:48:718),9.00,,88.21,,2230, (2023-01-21 03:01:31:454),0, (2023-01-21 03:04:49:812)
WebRequest,2023-01-21 03:24:50.911,03:14:49:813 -> 03:24:49:818,6, (2023-01-21 03:18:36:639),128.00, per minute,73.00,,0.0,,1.80,%,1.33,%,0.16,%,0.00,%,962.63,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 03:24:33:305),1280,,1280,,19.00,,110.54,,2230, (2023-01-21 03:01:31:454),0, (2023-01-21 03:14:48:718),6, (2023-01-21 03:18:36:639),321.00, (2023-01-21 03:07:49 -> 2023-01-21 03:08:49),73.00,,962.63,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 03:24:33:305),19.00,,110.54,,2230, (2023-01-21 03:01:31:454),0, (2023-01-21 03:14:48:718)
WebRequest,2023-01-21 03:34:50.929,03:24:49:818 -> 03:34:49:818,6, (2023-01-21 03:28:08:498),171.90, per minute,61.00,,0.0,,1.28,%,0.35,%,0.00,%,0.00,%,810.92,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 03:34:48:580),1719,,1719,,20.00,,111.37,,2230, (2023-01-21 03:01:31:454),0, (2023-01-21 03:24:47:014),6, (2023-01-21 03:28:08:498),434.99, (2023-01-21 03:31:49 -> 2023-01-21 03:32:49),61.00,,810.92,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 03:34:48:580),20.00,,111.37,,2230, (2023-01-21 03:01:31:454),0, (2023-01-21 03:24:47:014)
WebRequest,2023-01-21 03:44:50.951,03:34:49:818 -> 03:44:49:819,6, (2023-01-21 03:40:28:495),181.10, per minute,55.00,,0.0,,2.04,%,0.77,%,0.17,%,0.06,%,713.16,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 03:44:37:964),1811,,1811,,20.00,,109.19,,2230, (2023-01-21 03:01:31:454),0, (2023-01-21 03:34:48:580),6, (2023-01-21 03:40:28:495),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),55.00,,713.16,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 03:44:37:964),20.00,,109.19,,2230, (2023-01-21 03:01:31:454),0, (2023-01-21 03:34:48:580)
WebRequest,2023-01-21 03:54:50.969,03:44:49:819 -> 03:54:49:819,6, (2023-01-21 03:40:28:495),74.00, per minute,54.00,,0.0,,1.89,%,0.41,%,0.00,%,0.00,%,681.99,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 03:53:16:492),740,,740,,24.00,,124.58,,3431, (2023-01-21 03:40:36:226),0, (2023-01-21 03:44:39:546),6, (2023-01-21 03:40:28:495),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),54.00,,681.99,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 03:53:16:492),24.00,,124.58,,3431, (2023-01-21 03:40:36:226),0, (2023-01-21 03:44:39:546)
WebRequest,2023-01-21 04:04:51.836,03:54:49:820 -> 04:04:49:820,6, (2023-01-21 03:40:28:495),43.60, per minute,53.00,,0.0,,2.06,%,0.92,%,0.23,%,0.00,%,666.55,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 04:03:30:427),436,,436,,25.00,,125.18,,3431, (2023-01-21 03:40:36:226),0, (2023-01-21 03:54:03:964),6, (2023-01-21 03:40:28:495),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),53.00,,666.55,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 04:03:30:427),25.00,,125.18,,3431, (2023-01-21 03:40:36:226),0, (2023-01-21 03:54:03:964)
WebRequest,2023-01-21 04:14:51.854,04:04:49:820 -> 04:14:49:820,6, (2023-01-21 04:13:49:742),104.40, per minute,55.00,,0.0,,2.87,%,1.44,%,0.96,%,0.29,%,640.57,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 04:14:49:122),1045,,1044,,23.00,,122.87,,3431, (2023-01-21 03:40:36:226),0, (2023-01-21 04:03:56:844),6, (2023-01-21 04:13:49:742),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),55.00,,640.57,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 04:14:49:122),23.00,,122.87,,3431, (2023-01-21 03:40:36:226),0, (2023-01-21 04:03:56:844)
WebRequest,2023-01-21 04:24:51.871,04:14:49:820 -> 04:24:49:820,6, (2023-01-21 04:13:49:742),115.40, per minute,55.00,,0.0,,1.91,%,1.21,%,0.87,%,0.17,%,613.06,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 04:24:01:263),1153,,1154,,26.00,,153.45,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 04:14:49:122),6, (2023-01-21 04:13:49:742),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),55.00,,613.06,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 04:24:01:263),26.00,,153.45,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 04:14:49:122)
WebRequest,2023-01-21 04:34:51.890,04:24:49:820 -> 04:34:49:821,6, (2023-01-21 04:33:28:287),98.00, per minute,55.00,,0.0,,2.14,%,1.12,%,0.31,%,0.10,%,591.22,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 04:34:45:408),980,,980,,28.00,,160.74,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 04:24:44:034),6, (2023-01-21 04:33:28:287),541.00, (2023-01-21 03:39:49 -> 2023-01-21 03:40:49),55.00,,591.22,,54075, (2023-01-21 03:03:40:230),0, (2023-01-21 04:34:45:408),28.00,,160.74,,6450, (2023-01-21 04:06:15:656),0, (2023-01-21 04:24:44:034)
